34,40,38,36,26,31,18,43,1,13
33,41,36,42,9,6,20,7,31,27
39,40,38,4,13,41,31,18,20,30
43,42,18,32,31,33,24,19,8,30
42,18,33,32,40,1,31,37,25,41
37,34,41,20,39,38,31,4,42,2
9,36,8,41,15,16,39,34,20,17
6,38,27,1,26,20,36,28,0,18
43,42,38,18,32,31,19,24,4,33
8,39,40,24,38,11,18,35,41,31
28,37,10,19,36,34,23,40,15,43
39,41,0,38,31,13,18,28,20,42
40,10,20,38,4,0,37,18,31,11
34,18,32,37,24,39,31,19,17,12
7,42,4,33,37,24,26,8,22,5
36,20,40,34,28,13,18,31,33,12
5,18,36,32,4,31,24,10,19,39
4,33,19,41,23,28,22,0,35,17
39,41,38,7,0,43,31,20,9,18
37,34,18,12,32,7,31,19,41,35
24,2,36,18,32,31,10,43,5,19
10,33,37,36,3,4,40,11,34,28
38,8,42,3,15,10,20,17,28,39
10,40,39,5,9,20,41,34,31,18
41,37,27,28,40,26,13,18,31,3
6,8,11,16,34,15,20,28,43,40
39,25,10,3,6,18,36,19,31,40
42,39,8,15,38,37,43,40,34,41
36,9,41,20,35,26,4,18,31,38
26,28,37,19,22,35,13,23,39,27
42,37,11,35,6,4,39,15,2,8
8,37,18,33,31,32,34,19,42,15
40,42,4,38,41,36,18,5,39,31
6,20,41,43,31,33,26,18,28,42
42,38,40,18,13,24,31,19,32,41
5,25,11,9,18,36,31,19,2,32
6,39,40,43,8,36,28,18,31,20
9,36,18,40,24,31,32,19,43,34
43,42,40,38,8,39,41,20,18,31
41,36,43,34,13,3,20,38,39,31
41,39,37,9,6,34,15,26,38,12
2,43,34,37,33,18,12,32,31,4
13,38,36,27,0,33,42,6,31,18
36,7,38,40,41,27,15,20,31,37
33,41,38,34,17,32,26,36,3,18
9,40,38,37,12,35,34,11,26,41
15,34,26,10,20,28,17,1,11,9
8,36,43,20,3,42,17,28,10,39
43,39,42,33,34,37,6,13,31,20
39,41,40,0,7,15,6,20,13,2
40,8,39,36,18,3,2,32,31,19
36,2,39,8,11,31,20,33,34,41
34,24,22,26,17,35,31,32,43,36
38,8,27,40,41,28,4,12,18,31
5,22,26,11,19,28,39,23,34,13
42,38,5,0,40,6,8,39,2,31
11,10,39,36,4,3,5,42,16,37
9,34,38,36,16,17,32,41,43,8
33,1,12,43,28,20,32,22,15,36
39,40,3,20,15,4,17,16,2,29
41,7,22,8,42,11,40,20,27,19
34,43,42,10,15,37,20,41,2,35
2,37,27,4,24,34,17,40,42,3
20,26,8,35,13,31,10,18,30,19
33,24,35,4,18,41,9,31,19,32
10,37,38,40,20,8,33,2,31,18
42,8,37,40,31,15,18,34,13,30
33,38,10,28,40,15,24,20,17,5
41,20,38,26,43,34,18,31,12,40
11,33,38,41,40,37,28,34,15,17
10,3,40,33,35,2,18,31,28,20
1,33,9,37,4,34,42,15,8,41
2,5,42,39,18,6,38,25,9,37
33,34,36,40,25,18,9,7,38,19
1,37,40,41,20,35,43,2,13,27
36,43,6,18,42,38,19,31,33,2
34,26,35,2,20,16,8,17,29,42
4,34,38,18,24,9,36,11,33,31
2,22,40,11,35,17,34,38,6,37
12,41,18,32,33,34,31,37,19,38
34,36,33,15,10,20,42,17,28,16
40,42,6,39,18,32,31,19,25,12
9,42,7,36,0,35,31,13,18,20
35,18,34,19,31,4,38,25,32,17
43,34,18,31,32,19,3,39,2,41
25,33,18,32,31,34,24,19,39,41
13,39,43,20,40,18,31,28,3,6
41,36,39,18,2,32,31,10,19,37
